gabriel-2015_Matt Zoller Seitz,3.0,1,-1,-1,1,0,1,-1,1,-1,-2,-1,-1,0,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,0,1,-1,-1,-1,0,0,1,2,0,-1,1,-1,-2,2,
get-hard-2015_Matt Zoller Seitz,2.0,-1,-1,1,1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-2,-1,-1,-1,0,-1,1,0,0,-1,-1,-1,1,-1,
gett-the-trial-of-viviane-amsalem-2015_Matt Zoller Seitz,4.0,1,2,-1,-1,-1,-1,0,-2,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-2,-1,1,
glassland-2016_Matt Zoller Seitz,3.0,-1,-1,-1,-1,-1,-2,-1,0,-1,-1,0,1,1,-1,1,0,-1,1,0,0,-1,0,0,0,0,1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-2,0,-1,-1,0,-1,-1,0,0,
gleason-2016_Matt Zoller Seitz,3.5,1,-1,1,1,1,2,-1,-1,-2,-1,1,1,2,-1,0,-1,1,2,
goat-2016_Matt Zoller Seitz,2.5,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-2,-1,-1,-1,-1,1,-1,-1,-2,
gods-of-egypt-2016_Matt Zoller Seitz,2.0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,-1,0,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,
godzilla-2014_Matt Zoller Seitz,3.5,-1,0,2,-1,0,-1,0,-1,-1,0,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-2,-1,1,-1,-1,-1,0,1,1,0,0,-1,-1,-1,-1,-1,1,-1,
gold-2017_Matt Zoller Seitz,2.0,1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,0,-1,-1,1,1,0,-1,-1,1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,
gone-girl-2014_Matt Zoller Seitz,3.5,2,-1,-1,0,0,-1,1,-1,1,-1,1,0,0,0,0,1,-2,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,1,0,-1,-1,1,-1,1,-1,-1,-1,0,-1,1,1,1,2,-1,-1,-1,-1,1,-1,1,
