one-of-us-2017_Matt Zoller Seitz_3.5.txt,0,10,5,3,0,
patti-cake-2017_Matt Zoller Seitz_3.0.txt,1,18,1,13,1,
peace-officer-2015_Matt Zoller Seitz_3.5.txt,4,16,2,5,1,
petes-dragon-2016_Matt Zoller Seitz_3.5.txt,2,23,14,10,2,
porto-2017_Matt Zoller Seitz_2.5.txt,0,9,3,7,0,
power-rangers-2017_Matt Zoller Seitz_2.5.txt,1,22,8,16,0,
private-property-1960_Matt Zoller Seitz_3.0.txt,1,27,3,8,0,
rams-2016_Matt Zoller Seitz_3.0.txt,2,8,0,2,1,
raze-2014_Matt Zoller Seitz_3.0.txt,0,21,11,9,0,
rebels-of-the-neon-god-2015_Matt Zoller Seitz_3.5.txt,1,14,1,7,1,
remember-2016_Matt Zoller Seitz_2.5.txt,0,16,4,3,0,
remote-area-medical-2014_Matt Zoller Seitz_3.0.txt,1,18,5,8,1,
ride-2015_Matt Zoller Seitz_3.0.txt,1,25,4,12,1,
risen-2016_Matt Zoller Seitz_2.5.txt,2,25,8,9,0,
rodney-king-2017_Matt Zoller Seitz_3.5.txt,1,14,3,5,1,
rogue-one-a-star-wars-story-2016_Matt Zoller Seitz_3.5.txt,2,34,2,11,0,
rules-dont-apply-2016_Matt Zoller Seitz_3.0.txt,2,26,3,12,1,
runoff-2015_Matt Zoller Seitz_3.5.txt,1,18,2,11,1,
sacro-gra-2013_Matt Zoller Seitz_3.5.txt,0,33,5,14,0,
sembene_Matt Zoller Seitz_3.0.txt,0,21,3,12,0,
silence-2016_Matt Zoller Seitz_4.0.txt,0,34,13,8,1,
sleepless-2017_Matt Zoller Seitz_2.0.txt,2,18,1,7,0,
some-kind-of-beautiful-2015_Matt Zoller Seitz_1.0.txt,2,11,1,4,0,
song-to-song-2017_Matt Zoller Seitz_2.5.txt,3,41,10,10,2,
space-station-76-2014_Matt Zoller Seitz_3.0.txt,1,20,7,6,1,
spectre-2015_Matt Zoller Seitz_2.5.txt,2,44,10,9,0,
stand-clear-of-the-closing-doors-2014_Matt Zoller Seitz_3.0.txt,0,21,7,9,0,
star-trek-beyond-2016_Matt Zoller Seitz_2.5.txt,2,33,4,11,0,
star-wars-episode-vii---the-force-awakens-2015_Matt Zoller Seitz_3.5.txt,0,27,3,13,2,
stray-dogs-2014_Matt Zoller Seitz_3.5.txt,1,18,3,3,0,
sunset-song-2016_Matt Zoller Seitz_4.0.txt,1,17,3,10,1,
swiss-army-man-2016_Matt Zoller Seitz_3.5.txt,3,19,3,8,1,
table-19-2017_Matt Zoller Seitz_2.5.txt,0,18,4,9,1,
tangerine-2015_Matt Zoller Seitz_3.0.txt,1,25,3,10,2,
thank-you-for-your-service-2017_Matt Zoller Seitz_3.5.txt,3,22,3,8,1,
that-man-from-rio-1964_Matt Zoller Seitz_3.5.txt,1,20,3,9,1,
the-age-of-adaline-2015_Matt Zoller Seitz_3.0.txt,1,24,9,16,2,
the-b-side-elsa-dorfmans-portrait-photography-2017_Matt Zoller Seitz_3.0.txt,0,21,1,12,1,
the-bfg-2016_Matt Zoller Seitz_3.5.txt,0,24,9,17,0,
the-birth-of-a-nation-2016_Matt Zoller Seitz_2.0.txt,1,30,8,8,1,
the-boss-2016_Matt Zoller Seitz_1.5.txt,3,22,7,8,0,
the-circle-2017_Matt Zoller Seitz_1.5.txt,0,33,1,7,0,
the-cold-lands-2014_Matt Zoller Seitz_3.5.txt,1,23,8,14,1,
the-disappearance-of-eleanor-rigby-them-2014_Matt Zoller Seitz_3.0.txt,0,36,11,14,1,
the-dog-2014_Matt Zoller Seitz_4.0.txt,1,17,12,16,3,
the-end-of-the-tour-2015_Matt Zoller Seitz_3.0.txt,0,25,9,13,2,
