Title,Score,Very negative,Negative,Neutral,Positive,Very positive,Total,
frog.fractions.2.review.txt,7.5,1,32,5,6,0,44,
full.throttle.remastered.review.txt,7.5,0,30,3,10,1,44,
gravity.rush.2.review.ps4.txt,7.5,1,31,4,17,0,53,
heat.signature.review.txt,7.5,2,54,5,18,3,82,
heroes.of.the.storm.review.into.the.breach.txt,7.5,3,67,8,12,0,90,
hitman.review.txt,7.5,4,73,5,29,1,112,
knack.2.review.txt,7.5,3,55,11,34,1,104,
lara.croft.temple.of.osiris.review.xbox.one.ps4.playstation.4.pc.txt,7.5,1,13,2,11,0,27,
lords.of.the.fallen.review.txt,7.5,2,33,4,10,0,49,
lost.dimension.review.ps3.ps.vita.txt,7.5,2,36,4,13,1,56,
marvel.vs.capcom.infinite.review.txt,7.5,3,40,3,17,1,64,
mass.effect.andromeda.review.PS4.Xbox.One.PC.txt,7.5,1,59,9,27,2,98,
middle.earth.shadow.of.war.review.txt,7.5,3,87,22,33,1,146,
nascar.heat.2.review.txt,7.5,4,35,7,13,0,59,
nascar.heat.evolution.review.ps4.xbox.one.txt,7.5,3,53,6,16,1,79,
nhl.16.review.ps4.xbox.one.txt,7.5,3,40,5,19,0,67,
nhl.17.review.ps4.xbox.one.txt,7.5,0,27,7,19,0,53,
